id,title,description,created_at,updated_at,image_url
1,"The Godfather","""The Godfather"" is a 1972 crime film directed by Francis Ford Coppola. It follows the Corleone Mafia family, led by Vito Corleone (Marlon Brando). The story explores power, loyalty, and the consequences of organized crime, focusing on Vito's son Michael's (Al Pacino) reluctant involvement. The film is renowned for its iconic characters, memorable quotes, and its significant impact on the crime genre.","2023-12-29 18:40:48.506687","2023-12-30 15:30:53.794874",https://film-grab.com/wp-content/uploads/photo-gallery/03%20(1063).jpg?bwg=1547465432
2,"Herbie Fully Loaded","""Herbie: Fully Loaded"" is a 2005 comedy film directed by Angela Robinson. It is the sixth installment in the ""Herbie"" film series and stars Lindsay Lohan, Justin Long, and Michael Keaton. The movie follows the adventures of Herbie, a Volkswagen Beetle with a mind of its own. In this installment, Herbie becomes involved in the world of NASCAR racing after being discovered by Maggie Peyton (Lindsay Lohan), a young aspiring stock car racer. The film combines comedy, racing, and a touch of romance as Herbie competes in races and helps Maggie overcome various challenges in her racing career. ""Herbie: Fully Loaded"" is a family-friendly film that continues the legacy of the beloved anthropomorphic car character known as Herbie.","2023-12-29 18:51:25.898964","2023-12-30 18:12:57.617790",https://s3.amazonaws.com/static.rogerebert.com/uploads/review/primary_image/reviews/herbie-fully-loaded-2005/EB20050621REVIEWS506210301AR.jpg
3,"The Shawshank Redemption","Directed by Frank Darabont, this 1994 drama follows the journey of Andy Dufresne, a banker wrongly convicted of murder, as he navigates life in Shawshank State Penitentiary. ""The Shawshank Redemption"" explores themes of hope and resilience through Andy's friendship with fellow inmate Red.","2023-12-29 18:56:36.408848","2023-12-30 18:13:34.175798",https://film-grab.com/wp-content/uploads/photo-gallery/53%20(869).jpg?bwg=1547384264
4,Inception,"Christopher Nolan's 2010 mind-bending science fiction heist thriller, ""Inception,"" stars Leonardo DiCaprio as Dom Cobb. In a world where skilled thieves enter dreams to steal secrets, Cobb takes on a complex mission that blurs the lines between reality and illusion.","2023-12-29 18:57:03.551786","2023-12-30 18:14:25.281661",https://film-grab.com/wp-content/uploads/photo-gallery/21%20(506).jpg?bwg=1547222345
5,"The Dark Knight","Directed by Christopher Nolan and released in 2008, ""The Dark Knight"" is the second installment in Nolan's Batman trilogy. Christian Bale reprises his role as Batman, facing off against Heath Ledger's iconic portrayal of the Joker. The film delves into the moral dilemmas and chaos unleashed in Gotham City.","2023-12-29 18:57:21.477598","2023-12-30 18:16:11.068958",https://film-grab.com/wp-content/uploads/photo-gallery/19%20(1050).jpg?bwg=1547463351
8,"Django Unchained","Directed by Quentin Tarantino and released in 2012, ""Django Unchained"" is a Western film set in the antebellum South. Jamie Foxx stars as Django, a freed slave who partners with a bounty hunter (Christoph Waltz) to rescue his wife from a brutal plantation owner (Leonardo DiCaprio). The film blends Tarantino's signature style with a gripping narrative and a stellar cast.","2023-12-30 16:16:31.417110","2023-12-30 16:16:31.417110",https://film-grab.com/wp-content/uploads/photo-gallery/27%20(320).jpg?bwg=1547210931
9,"Pulp Fiction","Quentin Tarantino's iconic 1994 film, ""Pulp Fiction,"" is a nonlinear narrative that weaves together multiple interconnected stories. The film features an ensemble cast and is known for its unique structure, sharp dialogue, and memorable characters, solidifying its place as a cult classic.","2023-12-30 17:40:48.431150","2023-12-30 17:40:48.431150",https://film-grab.com/wp-content/uploads/photo-gallery/01%20(829).jpg?bwg=1547379566
10,"The Silence of the Lambs","Directed by Jonathan Demme and released in 1991, ""The Silence of the Lambs"" is a psychological horror-thriller. Jodie Foster stars as Clarice Starling, an FBI trainee seeking the help of imprisoned cannibalistic serial killer Hannibal Lecter (Anthony Hopkins) to catch another serial killer. The film is known for its suspenseful storytelling and outstanding performances.","2023-12-30 17:41:53.971256","2023-12-30 17:41:53.971256",https://film-grab.com/wp-content/uploads/photo-gallery/13%20(930).jpg?bwg=1547384834
11,"The Matrix","Directed by the Wachowskis and released in 1999, ""The Matrix"" is a groundbreaking science fiction film that explores themes of reality, artificial intelligence, and rebellion. Keanu Reeves plays Neo, a computer hacker who discovers the truth about the simulated reality in which humans live and joins a group of rebels in their fight against machines. The film's innovative visual effects and action sequences had a significant impact on the sci-fi genre.","2023-12-30 17:42:54.522927","2023-12-30 17:42:54.522927",https://film-grab.com/wp-content/uploads/photo-gallery/imported_from_media_libray/thematrix041.jpg?bwg=1546895510
13,"La La Land","Directed by Damien Chazelle, ""La La Land"" is a musical romantic drama starring Emma Stone and Ryan Gosling. Set in contemporary Los Angeles, the film follows the love story between a jazz musician and an aspiring actress. ""La La Land"" received praise for its nostalgic homage to classic Hollywood musicals.","2023-12-30 17:45:43.531534","2023-12-30 17:45:43.531534",https://film-grab.com/wp-content/uploads/photo-gallery/lalal054.jpg?bwg=1551286196
